commonName,binomial,number,location,date,time ,protocol,distance(kms),notes,,,
Golden-crowned Kinglet ,Regulus satrapa,3,"US-MI-McMillan-49868 - 46.5468x-85.5888, Luce, Michigan, US",21-May-17,7:14 AM - 7:52 AM,Stationary,0,,,,
Veery ,Catharus fuscescens,1,"US-MI-McMillan-49868 - 46.5468x-85.5888, Luce, Michigan, US",21-May-17,7:14 AM - 7:52 AM,Stationary,0,,,,
American Robin ,Turdus migratorius,3,"US-MI-McMillan-49868 - 46.5468x-85.5888, Luce, Michigan, US",21-May-17,7:14 AM - 7:52 AM,Stationary,0,,,,
Ovenbird ,Seiurus aurocapilla,1,"US-MI-McMillan-49868 - 46.5468x-85.5888, Luce, Michigan, US",21-May-17,7:14 AM - 7:52 AM,Stationary,0,,,,
Black-and-white Warbler ,Mniotilta varia,1,"US-MI-McMillan-49868 - 46.5468x-85.5888, Luce, Michigan, US",21-May-17,7:14 AM - 7:52 AM,Stationary,0,,,,
Nashville Warbler ,Oreothlypis ruficapilla,2,"US-MI-McMillan-49868 - 46.5468x-85.5888, Luce, Michigan, US",21-May-17,7:14 AM - 7:52 AM,Stationary,0,,,,
Common Yellowthroat ,Geothlypis trichas,1,"US-MI-McMillan-49868 - 46.5468x-85.5888, Luce, Michigan, US",21-May-17,7:14 AM - 7:52 AM,Stationary,0,,,,
American Redstart ,Setophaga ruticilla,2,"US-MI-McMillan-49868 - 46.5468x-85.5888, Luce, Michigan, US",21-May-17,7:14 AM - 7:52 AM,Stationary,0,,,,
Cape May Warbler ,Setophaga tigrina,1,"US-MI-McMillan-49868 - 46.5468x-85.5888, Luce, Michigan, US",21-May-17,7:14 AM - 7:52 AM,Stationary,0,,,,
Northern Parula ,Setophaga americana,2,"US-MI-McMillan-49868 - 46.5468x-85.5888, Luce, Michigan, US",21-May-17,7:14 AM - 7:52 AM,Stationary,0,,,,
Magnolia Warbler ,Setophaga magnolia,1,"US-MI-McMillan-49868 - 46.5468x-85.5888, Luce, Michigan, US",21-May-17,7:14 AM - 7:52 AM,Stationary,0,,,,
Blackburnian Warbler ,Setophaga fusca,1,"US-MI-McMillan-49868 - 46.5468x-85.5888, Luce, Michigan, US",21-May-17,7:14 AM - 7:52 AM,Stationary,0,,,,
Yellow-rumped Warbler (Myrtle),Setophaga coronata coronata,3,"US-MI-McMillan-49868 - 46.5468x-85.5888, Luce, Michigan, US",21-May-17,7:14 AM - 7:52 AM,Stationary,0,,,,
Chipping Sparrow ,Spizella passerina,2,"US-MI-McMillan-49868 - 46.5468x-85.5888, Luce, Michigan, US",21-May-17,7:14 AM - 7:52 AM,Stationary,0,,,,
White-crowned Sparrow (leucophrys),Zonotrichia leucophrys leucophrys,2,"US-MI-McMillan-49868 - 46.5468x-85.5888, Luce, Michigan, US",21-May-17,7:14 AM - 7:52 AM,Stationary,0,,,,
Song Sparrow ,Melospiza melodia,1,"US-MI-McMillan-49868 - 46.5468x-85.5888, Luce, Michigan, US",21-May-17,7:14 AM - 7:52 AM,Stationary,0,,,,
Rose-breasted Grosbeak ,Pheucticus ludovicianus,2,"US-MI-McMillan-49868 - 46.5468x-85.5888, Luce, Michigan, US",21-May-17,7:14 AM - 7:52 AM,Stationary,0,,,,
Red-winged Blackbird ,Agelaius phoeniceus,1,"US-MI-McMillan-49868 - 46.5468x-85.5888, Luce, Michigan, US",21-May-17,7:14 AM - 7:52 AM,Stationary,0,,,,
Common Grackle ,Quiscalus quiscula,2,"US-MI-McMillan-49868 - 46.5468x-85.5888, Luce, Michigan, US",21-May-17,7:14 AM - 7:52 AM,Stationary,0,,,,
Purple Finch ,Haemorhous purpureus,4,"US-MI-McMillan-49868 - 46.5468x-85.5888, Luce, Michigan, US",21-May-17,7:14 AM - 7:52 AM,Stationary,0,,,,
Pine Siskin ,Spinus pinus,1,"US-MI-McMillan-49868 - 46.5468x-85.5888, Luce, Michigan, US",21-May-17,7:14 AM - 7:52 AM,Stationary,0,,,,
Ruffed Grouse ,Bonasa umbellus,1,"US-MI-McMillan-Kalkaska Camp Rd - 46.5856x-85.5336, Luce, Michigan, US",21-May-17,8:42 AM - 5:02 PM,Traveling,4.828,,,,
Red-tailed Hawk (borealis),Buteo jamaicensis borealis,1,"US-MI-McMillan-Kalkaska Camp Rd - 46.5856x-85.5336, Luce, Michigan, US",21-May-17,8:42 AM - 5:02 PM,Traveling,4.828,,,,
Sandhill Crane ,Antigone canadensis,2,"US-MI-McMillan-Kalkaska Camp Rd - 46.5856x-85.5336, Luce, Michigan, US",21-May-17,8:42 AM - 5:02 PM,Traveling,4.828,,,,
Ruby-throated Hummingbird ,Archilochus colubris,1,"US-MI-McMillan-Kalkaska Camp Rd - 46.5856x-85.5336, Luce, Michigan, US",21-May-17,8:42 AM - 5:02 PM,Traveling,4.828,,,,
Yellow-bellied Sapsucker ,Sphyrapicus varius,2,"US-MI-McMillan-Kalkaska Camp Rd - 46.5856x-85.5336, Luce, Michigan, US",21-May-17,8:42 AM - 5:02 PM,Traveling,4.828,,,,
Downy Woodpecker ,Picoides pubescens,1,"US-MI-McMillan-Kalkaska Camp Rd - 46.5856x-85.5336, Luce, Michigan, US",21-May-17,8:42 AM - 5:02 PM,Traveling,4.828,,,,
Northern Flicker ,Colaptes auratus,1,"US-MI-McMillan-Kalkaska Camp Rd - 46.5856x-85.5336, Luce, Michigan, US",21-May-17,8:42 AM - 5:02 PM,Traveling,4.828,,,,
Pileated Woodpecker ,Dryocopus pileatus,3,"US-MI-McMillan-Kalkaska Camp Rd - 46.5856x-85.5336, Luce, Michigan, US",21-May-17,8:42 AM - 5:02 PM,Traveling,4.828,,,,
Least Flycatcher ,Empidonax minimus,3,"US-MI-McMillan-Kalkaska Camp Rd - 46.5856x-85.5336, Luce, Michigan, US",21-May-17,8:42 AM - 5:02 PM,Traveling,4.828,,,,
Eastern Kingbird ,Tyrannus tyrannus,1,"US-MI-McMillan-Kalkaska Camp Rd - 46.5856x-85.5336, Luce, Michigan, US",21-May-17,8:42 AM - 5:02 PM,Traveling,4.828,,,,
Blue-headed Vireo ,Vireo solitarius,3,"US-MI-McMillan-Kalkaska Camp Rd - 46.5856x-85.5336, Luce, Michigan, US",21-May-17,8:42 AM - 5:02 PM,Traveling,4.828,,,,
Red-eyed Vireo ,Vireo olivaceus,3,"US-MI-McMillan-Kalkaska Camp Rd - 46.5856x-85.5336, Luce, Michigan, US",21-May-17,8:42 AM - 5:02 PM,Traveling,4.828,,,,
Blue Jay ,Cyanocitta cristata,2,"US-MI-McMillan-Kalkaska Camp Rd - 46.5856x-85.5336, Luce, Michigan, US",21-May-17,8:42 AM - 5:02 PM,Traveling,4.828,,,,
Black-capped Chickadee ,Poecile atricapillus,3,"US-MI-McMillan-Kalkaska Camp Rd - 46.5856x-85.5336, Luce, Michigan, US",21-May-17,8:42 AM - 5:02 PM,Traveling,4.828,,,,
Red-breasted Nuthatch ,Sitta canadensis,2,"US-MI-McMillan-Kalkaska Camp Rd - 46.5856x-85.5336, Luce, Michigan, US",21-May-17,8:42 AM - 5:02 PM,Traveling,4.828,,,,
Brown Creeper ,Certhia americana,1,"US-MI-McMillan-Kalkaska Camp Rd - 46.5856x-85.5336, Luce, Michigan, US",21-May-17,8:42 AM - 5:02 PM,Traveling,4.828,,,,
Veery ,Catharus fuscescens,1,"US-MI-McMillan-Kalkaska Camp Rd - 46.5856x-85.5336, Luce, Michigan, US",21-May-17,8:42 AM - 5:02 PM,Traveling,4.828,,,,
Hermit Thrush ,Catharus guttatus,1,"US-MI-McMillan-Kalkaska Camp Rd - 46.5856x-85.5336, Luce, Michigan, US",21-May-17,8:42 AM - 5:02 PM,Traveling,4.828,,,,
American Robin ,Turdus migratorius,3,"US-MI-McMillan-Kalkaska Camp Rd - 46.5856x-85.5336, Luce, Michigan, US",21-May-17,8:42 AM - 5:02 PM,Traveling,4.828,,,,
Ovenbird ,Seiurus aurocapilla,2,"US-MI-McMillan-Kalkaska Camp Rd - 46.5856x-85.5336, Luce, Michigan, US",21-May-17,8:42 AM - 5:02 PM,Traveling,4.828,,,,
Black-and-white Warbler ,Mniotilta varia,1,"US-MI-McMillan-Kalkaska Camp Rd - 46.5856x-85.5336, Luce, Michigan, US",21-May-17,8:42 AM - 5:02 PM,Traveling,4.828,,,,
Nashville Warbler ,Oreothlypis ruficapilla,2,"US-MI-McMillan-Kalkaska Camp Rd - 46.5856x-85.5336, Luce, Michigan, US",21-May-17,8:42 AM - 5:02 PM,Traveling,4.828,,,,
American Redstart ,Setophaga ruticilla,3,"US-MI-McMillan-Kalkaska Camp Rd - 46.5856x-85.5336, Luce, Michigan, US",21-May-17,8:42 AM - 5:02 PM,Traveling,4.828,,,,
Northern Parula ,Setophaga americana,5,"US-MI-McMillan-Kalkaska Camp Rd - 46.5856x-85.5336, Luce, Michigan, US",21-May-17,8:42 AM - 5:02 PM,Traveling,4.828,,,,
Magnolia Warbler ,Setophaga magnolia,1,"US-MI-McMillan-Kalkaska Camp Rd - 46.5856x-85.5336, Luce, Michigan, US",21-May-17,8:42 AM - 5:02 PM,Traveling,4.828,,,,
Bay-breasted Warbler ,Setophaga castanea,2,"US-MI-McMillan-Kalkaska Camp Rd - 46.5856x-85.5336, Luce, Michigan, US",21-May-17,8:42 AM - 5:02 PM,Traveling,4.828,,,,
Blackburnian Warbler ,Setophaga fusca,3,"US-MI-McMillan-Kalkaska Camp Rd - 46.5856x-85.5336, Luce, Michigan, US",21-May-17,8:42 AM - 5:02 PM,Traveling,4.828,,,,
Chestnut-sided Warbler ,Setophaga pensylvanica,2,"US-MI-McMillan-Kalkaska Camp Rd - 46.5856x-85.5336, Luce, Michigan, US",21-May-17,8:42 AM - 5:02 PM,Traveling,4.828,,,,
Black-throated Blue Warbler ,Setophaga caerulescens,2,"US-MI-McMillan-Kalkaska Camp Rd - 46.5856x-85.5336, Luce, Michigan, US",21-May-17,8:42 AM - 5:02 PM,Traveling,4.828,,,,
Yellow-rumped Warbler (Myrtle),Setophaga coronata coronata,3,"US-MI-McMillan-Kalkaska Camp Rd - 46.5856x-85.5336, Luce, Michigan, US",21-May-17,8:42 AM - 5:02 PM,Traveling,4.828,,,,
Black-throated Green Warbler ,Setophaga virens,3,"US-MI-McMillan-Kalkaska Camp Rd - 46.5856x-85.5336, Luce, Michigan, US",21-May-17,8:42 AM - 5:02 PM,Traveling,4.828,,,,
White-throated Sparrow ,Zonotrichia albicollis,1,"US-MI-McMillan-Kalkaska Camp Rd - 46.5856x-85.5336, Luce, Michigan, US",21-May-17,8:42 AM - 5:02 PM,Traveling,4.828,,,,
Scarlet Tanager ,Piranga olivacea,2,"US-MI-McMillan-Kalkaska Camp Rd - 46.5856x-85.5336, Luce, Michigan, US",21-May-17,8:42 AM - 5:02 PM,Traveling,4.828,,,,
Rose-breasted Grosbeak ,Pheucticus ludovicianus,3,"US-MI-McMillan-Kalkaska Camp Rd - 46.5856x-85.5336, Luce, Michigan, US",21-May-17,8:42 AM - 5:02 PM,Traveling,4.828,,,,
Purple Finch ,Haemorhous purpureus,3,"US-MI-McMillan-Kalkaska Camp Rd - 46.5856x-85.5336, Luce, Michigan, US",21-May-17,8:42 AM - 5:02 PM,Traveling,4.828,,,,
Pine Siskin ,Spinus pinus,2,"US-MI-McMillan-Kalkaska Camp Rd - 46.5856x-85.5336, Luce, Michigan, US",21-May-17,8:42 AM - 5:02 PM,Traveling,4.828,,,,
Sandhill Crane ,Antigone canadensis,2,"US-MI-McMillan-49868 - 46.5468x-85.5888, Luce, Michigan, US",14-Aug-17,8:34 AM - 8:56 AM,Traveling,0.483,,,,
Northern Flicker (Yellw-Shafted),Colaptes auratus auratus/luteus,1,"US-MI-McMillan-49868 - 46.5468x-85.5888, Luce, Michigan, US",14-Aug-17,8:34 AM - 8:56 AM,Traveling,0.483,,,,
Pileated Woodpecker ,Dryocopus pileatus,1,"US-MI-McMillan-49868 - 46.5468x-85.5888, Luce, Michigan, US",14-Aug-17,8:34 AM - 8:56 AM,Traveling,0.483,,,,
Eastern Phoebe ,Sayornis phoebe,2,"US-MI-McMillan-49868 - 46.5468x-85.5888, Luce, Michigan, US",14-Aug-17,8:34 AM - 8:56 AM,Traveling,0.483,,,,
Red-eyed Vireo ,Vireo olivaceus,1,"US-MI-McMillan-49868 - 46.5468x-85.5888, Luce, Michigan, US",14-Aug-17,8:34 AM - 8:56 AM,Traveling,0.483,,,,
Brown Creeper ,Certhia americana,1,"US-MI-McMillan-49868 - 46.5468x-85.5888, Luce, Michigan, US",14-Aug-17,8:34 AM - 8:56 AM,Traveling,0.483,,,,
Golden-crowned Kinglet ,Regulus satrapa,2,"US-MI-McMillan-49868 - 46.5468x-85.5888, Luce, Michigan, US",14-Aug-17,8:34 AM - 8:56 AM,Traveling,0.483,,,,
American Robin ,Turdus migratorius,1,"US-MI-McMillan-49868 - 46.5468x-85.5888, Luce, Michigan, US",14-Aug-17,8:34 AM - 8:56 AM,Traveling,0.483,,,,
Cedar Waxwing ,Bombycilla cedrorum,3,"US-MI-McMillan-49868 - 46.5468x-85.5888, Luce, Michigan, US",14-Aug-17,8:34 AM - 8:56 AM,Traveling,0.483,,,,
Common Yellowthroat ,Geothlypis trichas,1,"US-MI-McMillan-49868 - 46.5468x-85.5888, Luce, Michigan, US",14-Aug-17,8:34 AM - 8:56 AM,Traveling,0.483,,,,
Rose-breasted Grosbeak ,Pheucticus ludovicianus,1,"US-MI-McMillan-49868 - 46.5468x-85.5888, Luce, Michigan, US",14-Aug-17,8:34 AM - 8:56 AM,Traveling,0.483,,,,
Red Crossbill ,Loxia curvirostra,4,"US-MI-McMillan-49868 - 46.5468x-85.5888, Luce, Michigan, US",14-Aug-17,8:34 AM - 8:56 AM,Traveling,0.483,,,,
Pine Siskin ,Spinus pinus,2,"US-MI-McMillan-49868 - 46.5468x-85.5888, Luce, Michigan, US",14-Aug-17,8:34 AM - 8:56 AM,Traveling,0.483,,,,
American Goldfinch ,Spinus tristis,4,"US-MI-McMillan-49868 - 46.5468x-85.5888, Luce, Michigan, US",14-Aug-17,8:34 AM - 8:56 AM,Traveling,0.483,,,,
Red-tailed Hawk (borealis),Buteo jamaicensis borealis,1,"49868, McMillan US-MI ;46.5869,-85.5209;, Luce, Michigan, US",14-Aug-17,9:21 AM - 4:51 PM,Traveling,6.437,,,,
Downy Woodpecker ,Picoides pubescens,1,"49868, McMillan US-MI ;46.5869,-85.5209;, Luce, Michigan, US",14-Aug-17,9:21 AM - 4:51 PM,Traveling,6.437,,,,
Hairy Woodpecker ,Picoides villosus,1,"49868, McMillan US-MI ;46.5869,-85.5209;, Luce, Michigan, US",14-Aug-17,9:21 AM - 4:51 PM,Traveling,6.437,,,,
Eastern Wood-Pewee ,Contopus virens,2,"49868, McMillan US-MI ;46.5869,-85.5209;, Luce, Michigan, US",14-Aug-17,9:21 AM - 4:51 PM,Traveling,6.437,,,,
Blue-headed Vireo ,Vireo solitarius,1,"49868, McMillan US-MI ;46.5869,-85.5209;, Luce, Michigan, US",14-Aug-17,9:21 AM - 4:51 PM,Traveling,6.437,,,,
Red-eyed Vireo ,Vireo olivaceus,2,"49868, McMillan US-MI ;46.5869,-85.5209;, Luce, Michigan, US",14-Aug-17,9:21 AM - 4:51 PM,Traveling,6.437,,,,
Blue Jay ,Cyanocitta cristata,3,"49868, McMillan US-MI ;46.5869,-85.5209;, Luce, Michigan, US",14-Aug-17,9:21 AM - 4:51 PM,Traveling,6.437,,,,
Common Raven ,Corvus corax,2,"49868, McMillan US-MI ;46.5869,-85.5209;, Luce, Michigan, US",14-Aug-17,9:21 AM - 4:51 PM,Traveling,6.437,,,,
Black-capped Chickadee ,Poecile atricapillus,8,"49868, McMillan US-MI ;46.5869,-85.5209;, Luce, Michigan, US",14-Aug-17,9:21 AM - 4:51 PM,Traveling,6.437,,,,
Brown Creeper ,Certhia americana,1,"49868, McMillan US-MI ;46.5869,-85.5209;, Luce, Michigan, US",14-Aug-17,9:21 AM - 4:51 PM,Traveling,6.437,,,,
Winter Wren ,Troglodytes hiemalis,1,"49868, McMillan US-MI ;46.5869,-85.5209;, Luce, Michigan, US",14-Aug-17,9:21 AM - 4:51 PM,Traveling,6.437,,,,
Golden-crowned Kinglet ,Regulus satrapa,4,"49868, McMillan US-MI ;46.5869,-85.5209;, Luce, Michigan, US",14-Aug-17,9:21 AM - 4:51 PM,Traveling,6.437,,,,
Black-throated Blue Warbler ,Setophaga caerulescens,1,"49868, McMillan US-MI ;46.5869,-85.5209;, Luce, Michigan, US",14-Aug-17,9:21 AM - 4:51 PM,Traveling,6.437,,,,
Black-throated Green Warbler ,Setophaga virens,1,"49868, McMillan US-MI ;46.5869,-85.5209;, Luce, Michigan, US",14-Aug-17,9:21 AM - 4:51 PM,Traveling,6.437,,,,
Yellow-bellied Sapsucker ,Sphyrapicus varius,1,"US-MI-McMillan-49868 - 46.5468x-85.5888, Luce, Michigan, US",15-Aug-17,8:20 AM - 8:45 AM,Traveling,0.322,,,,
Downy Woodpecker ,Picoides pubescens,1,"US-MI-McMillan-49868 - 46.5468x-85.5888, Luce, Michigan, US",15-Aug-17,8:20 AM - 8:45 AM,Traveling,0.322,,,,
Northern Flicker (Yellw-Shafted),Colaptes auratus auratus/luteus,3,"US-MI-McMillan-49868 - 46.5468x-85.5888, Luce, Michigan, US",15-Aug-17,8:20 AM - 8:45 AM,Traveling,0.322,,,,
Eastern Phoebe ,Sayornis phoebe,2,"US-MI-McMillan-49868 - 46.5468x-85.5888, Luce, Michigan, US",15-Aug-17,8:20 AM - 8:45 AM,Traveling,0.322,,,,
Blue-headed Vireo ,Vireo solitarius,3,"US-MI-McMillan-49868 - 46.5468x-85.5888, Luce, Michigan, US",15-Aug-17,8:20 AM - 8:45 AM,Traveling,0.322,,,,
Red-eyed Vireo ,Vireo olivaceus,2,"US-MI-McMillan-49868 - 46.5468x-85.5888, Luce, Michigan, US",15-Aug-17,8:20 AM - 8:45 AM,Traveling,0.322,,,,
Blue Jay ,Cyanocitta cristata,2,"US-MI-McMillan-49868 - 46.5468x-85.5888, Luce, Michigan, US",15-Aug-17,8:20 AM - 8:45 AM,Traveling,0.322,,,,
Red-breasted Nuthatch ,Sitta canadensis,3,"US-MI-McMillan-49868 - 46.5468x-85.5888, Luce, Michigan, US",15-Aug-17,8:20 AM - 8:45 AM,Traveling,0.322,,,,
Winter Wren ,Troglodytes hiemalis,1,"US-MI-McMillan-49868 - 46.5468x-85.5888, Luce, Michigan, US",15-Aug-17,8:20 AM - 8:45 AM,Traveling,0.322,,,,
American Robin ,Turdus migratorius,3,"US-MI-McMillan-49868 - 46.5468x-85.5888, Luce, Michigan, US",15-Aug-17,8:20 AM - 8:45 AM,Traveling,0.322,,,,
Cedar Waxwing ,Bombycilla cedrorum,2,"US-MI-McMillan-49868 - 46.5468x-85.5888, Luce, Michigan, US",15-Aug-17,8:20 AM - 8:45 AM,Traveling,0.322,,,,
Black-and-white Warbler ,Mniotilta varia,2,"US-MI-McMillan-49868 - 46.5468x-85.5888, Luce, Michigan, US",15-Aug-17,8:20 AM - 8:45 AM,Traveling,0.322,,,,
Yellow-rumped Warbler (Myrtle),Setophaga coronata coronata,2,"US-MI-McMillan-49868 - 46.5468x-85.5888, Luce, Michigan, US",15-Aug-17,8:20 AM - 8:45 AM,Traveling,0.322,,,,
Lincoln's Sparrow ,Melospiza lincolnii,4,"US-MI-McMillan-49868 - 46.5468x-85.5888, Luce, Michigan, US",15-Aug-17,8:20 AM - 8:45 AM,Traveling,0.322,,,,
Pine Siskin ,Spinus pinus,16,"US-MI-McMillan-49868 - 46.5468x-85.5888, Luce, Michigan, US",15-Aug-17,8:20 AM - 8:45 AM,Traveling,0.322,One nice flock,,,
Trumpeter Swan ,Cygnus buccinator,1,"49868, McMillan US-MI ;46.5819,-85.6011;, Luce, Michigan, US",15-Aug-17,8:53 AM,Incidental,0,,,,
Broad-winged Hawk ,Buteo platypterus,1,"49868, McMillan US-MI ;46.5819,-85.6011;, Luce, Michigan, US",15-Aug-17,8:53 AM,Incidental,0,,,,
Red-tailed Hawk (borealis),Buteo jamaicensis borealis,1,"49868, McMillan US-MI ;46.5819,-85.6011;, Luce, Michigan, US",15-Aug-17,8:53 AM,Incidental,0,,,,
Scarlet Tanager ,Piranga olivacea,1,"49868, McMillan US-MI ;46.5819,-85.6011;, Luce, Michigan, US",15-Aug-17,8:53 AM,Incidental,0,,,,
Sandhill Crane ,Antigone canadensis,2,"US-MI-McMillan-49868 - 46.5468x-85.5888, Luce, Michigan, US",16-Aug-17,7:53 AM - 8:36 AM,Traveling,0.322,,,,
Ruby-throated Hummingbird ,Archilochus colubris,2,"US-MI-McMillan-49868 - 46.5468x-85.5888, Luce, Michigan, US",16-Aug-17,7:53 AM - 8:36 AM,Traveling,0.322,,,,
Downy Woodpecker ,Picoides pubescens,1,"US-MI-McMillan-49868 - 46.5468x-85.5888, Luce, Michigan, US",16-Aug-17,7:53 AM - 8:36 AM,Traveling,0.322,,,,
Hairy Woodpecker ,Picoides villosus,1,"US-MI-McMillan-49868 - 46.5468x-85.5888, Luce, Michigan, US",16-Aug-17,7:53 AM - 8:36 AM,Traveling,0.322,,,,
Northern Flicker (Yellw-Shafted),Colaptes auratus auratus/luteus,1,"US-MI-McMillan-49868 - 46.5468x-85.5888, Luce, Michigan, US",16-Aug-17,7:53 AM - 8:36 AM,Traveling,0.322,,,,
Eastern Wood-Pewee ,Contopus virens,1,"US-MI-McMillan-49868 - 46.5468x-85.5888, Luce, Michigan, US",16-Aug-17,7:53 AM - 8:36 AM,Traveling,0.322,,,,
Yellow-bellied Flycatcher ,Empidonax flaviventris,1,"US-MI-McMillan-49868 - 46.5468x-85.5888, Luce, Michigan, US",16-Aug-17,7:53 AM - 8:36 AM,Traveling,0.322,,,,
Eastern Phoebe ,Sayornis phoebe,2,"US-MI-McMillan-49868 - 46.5468x-85.5888, Luce, Michigan, US",16-Aug-17,7:53 AM - 8:36 AM,Traveling,0.322,,,,
Blue-headed Vireo ,Vireo solitarius,2,"US-MI-McMillan-49868 - 46.5468x-85.5888, Luce, Michigan, US",16-Aug-17,7:53 AM - 8:36 AM,Traveling,0.322,,,,
Red-eyed Vireo ,Vireo olivaceus,1,"US-MI-McMillan-49868 - 46.5468x-85.5888, Luce, Michigan, US",16-Aug-17,7:53 AM - 8:36 AM,Traveling,0.322,,,,
Blue Jay ,Cyanocitta cristata,1,"US-MI-McMillan-49868 - 46.5468x-85.5888, Luce, Michigan, US",16-Aug-17,7:53 AM - 8:36 AM,Traveling,0.322,,,,
Common Raven ,Corvus corax,1,"US-MI-McMillan-49868 - 46.5468x-85.5888, Luce, Michigan, US",16-Aug-17,7:53 AM - 8:36 AM,Traveling,0.322,,,,
Black-capped Chickadee ,Poecile atricapillus,11,"US-MI-McMillan-49868 - 46.5468x-85.5888, Luce, Michigan, US",16-Aug-17,7:53 AM - 8:36 AM,Traveling,0.322,,,,
Red-breasted Nuthatch ,Sitta canadensis,18,"US-MI-McMillan-49868 - 46.5468x-85.5888, Luce, Michigan, US",16-Aug-17,7:53 AM - 8:36 AM,Traveling,0.322,,,,
Brown Creeper ,Certhia americana,1,"US-MI-McMillan-49868 - 46.5468x-85.5888, Luce, Michigan, US",16-Aug-17,7:53 AM - 8:36 AM,Traveling,0.322,,,,
American Robin ,Turdus migratorius,1,"US-MI-McMillan-49868 - 46.5468x-85.5888, Luce, Michigan, US",16-Aug-17,7:53 AM - 8:36 AM,Traveling,0.322,,,,
Black-and-white Warbler ,Mniotilta varia,2,"US-MI-McMillan-49868 - 46.5468x-85.5888, Luce, Michigan, US",16-Aug-17,7:53 AM - 8:36 AM,Traveling,0.322,,,,
Nashville Warbler ,Oreothlypis ruficapilla,2,"US-MI-McMillan-49868 - 46.5468x-85.5888, Luce, Michigan, US",16-Aug-17,7:53 AM - 8:36 AM,Traveling,0.322,,,,
American Redstart ,Setophaga ruticilla,2,"US-MI-McMillan-49868 - 46.5468x-85.5888, Luce, Michigan, US",16-Aug-17,7:53 AM - 8:36 AM,Traveling,0.322,,,,
Magnolia Warbler ,Setophaga magnolia,1,"US-MI-McMillan-49868 - 46.5468x-85.5888, Luce, Michigan, US",16-Aug-17,7:53 AM - 8:36 AM,Traveling,0.322,,,,
Blackburnian Warbler ,Setophaga fusca,1,"US-MI-McMillan-49868 - 46.5468x-85.5888, Luce, Michigan, US",16-Aug-17,7:53 AM - 8:36 AM,Traveling,0.322,,,,
Chestnut-sided Warbler ,Setophaga pensylvanica,1,"US-MI-McMillan-49868 - 46.5468x-85.5888, Luce, Michigan, US",16-Aug-17,7:53 AM - 8:36 AM,Traveling,0.322,,,,
Yellow-rumped Warbler (Myrtle),Setophaga coronata coronata,2,"US-MI-McMillan-49868 - 46.5468x-85.5888, Luce, Michigan, US",16-Aug-17,7:53 AM - 8:36 AM,Traveling,0.322,,,,
Black-throated Green Warbler ,Setophaga virens,3,"US-MI-McMillan-49868 - 46.5468x-85.5888, Luce, Michigan, US",16-Aug-17,7:53 AM - 8:36 AM,Traveling,0.322,,,,
Dark-eyed Junco (Slate-colored),Junco hyemalis hyemalis/carolinensis,1,"US-MI-McMillan-49868 - 46.5468x-85.5888, Luce, Michigan, US",16-Aug-17,7:53 AM - 8:36 AM,Traveling,0.322,,,,
White-throated Sparrow ,Zonotrichia albicollis,3,"US-MI-McMillan-49868 - 46.5468x-85.5888, Luce, Michigan, US",16-Aug-17,7:53 AM - 8:36 AM,Traveling,0.322,,,,
Song Sparrow ,Melospiza melodia,1,"US-MI-McMillan-49868 - 46.5468x-85.5888, Luce, Michigan, US",16-Aug-17,7:53 AM - 8:36 AM,Traveling,0.322,,,,
Lincoln's Sparrow ,Melospiza lincolnii,1,"US-MI-McMillan-49868 - 46.5468x-85.5888, Luce, Michigan, US",16-Aug-17,7:53 AM - 8:36 AM,Traveling,0.322,,,,
Evening Grosbeak ,Coccothraustes vespertinus,2,"US-MI-McMillan-49868 - 46.5468x-85.5888, Luce, Michigan, US",16-Aug-17,7:53 AM - 8:36 AM,Traveling,0.322,,,,
Purple Finch ,Haemorhous purpureus,2,"US-MI-McMillan-49868 - 46.5468x-85.5888, Luce, Michigan, US",16-Aug-17,7:53 AM - 8:36 AM,Traveling,0.322,,,,
Pine Siskin ,Spinus pinus,10,"US-MI-McMillan-49868 - 46.5468x-85.5888, Luce, Michigan, US",16-Aug-17,7:53 AM - 8:36 AM,Traveling,0.322,,,,
Ruffed Grouse ,Bonasa umbellus,4,"Kalkaska Camp Rd, McMillan US-MI ;46.5792,-85.5688;, Luce, Michigan, US",16-Aug-17,6:17 PM,Incidental,0,,,,
Pileated Woodpecker ,Dryocopus pileatus,1,"Kalkaska Camp Rd, McMillan US-MI ;46.5792,-85.5688;, Luce, Michigan, US",16-Aug-17,6:17 PM,Incidental,0,,,,
Eastern Wood-Pewee ,Contopus virens,2,"Kalkaska Camp Rd, McMillan US-MI ;46.5792,-85.5688;, Luce, Michigan, US",16-Aug-17,6:17 PM,Incidental,0,,,,
Hermit Thrush ,Catharus guttatus,1,"Kalkaska Camp Rd, McMillan US-MI ;46.5792,-85.5688;, Luce, Michigan, US",16-Aug-17,6:17 PM,Incidental,0,,,,
Hairy Woodpecker ,Picoides villosus,1,"US-MI-McMillan-49868 - 46.5468x-85.5888, Luce, Michigan, US",29-Aug-17,8:01 AM - 8:21 AM,Stationary,0,,,,
Northern Flicker (Yellw-Shafted),Colaptes auratus auratus/luteus,2,"US-MI-McMillan-49868 - 46.5468x-85.5888, Luce, Michigan, US",29-Aug-17,8:01 AM - 8:21 AM,Stationary,0,,,,
