ID,Plot,Replicate,Bird Number,Period,Minute,Species,Sex,Detection Method,Distance,New Record,Counter-sing,Site,DateC,TimeC
4245,3,2,20,3,6,REVI,M,S,1,0,1,Beaver Basin,24-Jun-11,6:18
7325,3,2,20,2,6,MYWA,U,C,1,1,0,Beaver Basin,22-Jun-12,6:48
1207,3,2,20,1,3,REVI,M,S,2,0,1,Spotted Hardwood,23-Jun-10,5:03
4074,3,2,20,3,8,AMRO,U,C,1,0,0,Spotted Hardwood,21-Jun-11,7:54
5874,3,2,20,3,6,LEFL,M,S,1,0,1,Spotted Hardwood,16-Jun-12,5:46
817,3,2,20,2,6,REVI,M,S,1,0,1,Stuart Lake,18-Jun-10,6:32
3576,3,2,20,2,5,PIWO,U,C,2,1,0,Stuart Lake,17-Jun-11,7:24
5772,3,2,20,2,4,HETH,M,S,2,0,0,Stuart Lake,16-Jun-12,7:08
2411,3,2,21,3,7,AMRE,M,S,1,0,0,Beaver Basin,02-Jul-10,6:25
4246,3,2,21,3,6,CHSP,U,V,1,0,0,Beaver Basin,24-Jun-11,6:18
7326,3,2,21,2,6,RESQ,U,C,1,1,0,Beaver Basin,22-Jun-12,6:48
1208,3,2,21,1,3,HETH,M,S,1,0,0,Spotted Hardwood,23-Jun-10,5:03
4075,3,2,21,3,8,OVEN,M,S,2,1,0,Spotted Hardwood,21-Jun-11,7:54
5875,3,2,21,3,6,LEFL,M,S,1,0,1,Spotted Hardwood,16-Jun-12,5:46
818,3,2,21,2,6,REVI,M,S,1,0,1,Stuart Lake,18-Jun-10,6:32
3577,3,2,21,2,5,WIWR,M,S,2,0,0,Stuart Lake,17-Jun-11,7:24
5773,3,2,21,2,4,AMRO,U,C,1,1,0,Stuart Lake,16-Jun-12,7:08
2412,3,2,22,3,7,VEER,U,C,2,1,0,Beaver Basin,02-Jul-10,6:25
4247,3,2,22,3,6,AMRO,M,C,2,1,0,Beaver Basin,24-Jun-11,6:18
7327,3,2,22,3,6,HETH,M,S,2,0,0,Beaver Basin,22-Jun-12,6:48
1209,3,2,22,1,3,LEFL,M,S,1,0,0,Spotted Hardwood,23-Jun-10,5:03
4076,3,2,22,3,8,BTNW,M,S,1,0,0,Spotted Hardwood,21-Jun-11,7:54
